name,id,boe-occ-no,date-occ-issued,purpose,first-year-qualified
"D Street Senior Housing, Inc. ",2861195,20115,12/18/07,Charitable ,8-Jul
D.A.R.E. America ,1631009,3668,12/11/03,Charitable ,Unavl
"D.A.V. Charities of Fresno County, Inc. ",542144,17719,5/5/05,Charitable ,5-Apr
D.A.V. Charities of San Joaquin County ,650104,3669,12/11/03,Charitable ,Unavl
D.A.V. Industries ,526940,3670,12/11/03,Charitable ,Unavl
"DAAR-UL-ILM For The Muslim Youth, Inc. (Institute Of Knowledge) ",2225349,20259,2/7/08,Religious ,8-Jul
Dai Bei Temple ,1270211,14639,12/11/03,Religious ,Unavl
Dai Dao Tam Ky Pho Do Hoi Tin Huu Cao Dai Mien Nam California Caodaist Association of Southern Ca ,1589742,21538,10/16/09,Religious ,10-Sep
"Dai Dao Tam Ky Pho Do,Cao Dai Giao Hai Ngoai ",1723675,22140,9/17/10,Religious ,10-Sep
Dai Dao Tam Ky Pho Do-Toa Thanh Tay Ninh  (Chau Dao California) ,1931532,3673,12/11/03,Religious ,Unavl
"Daishu-In West, Inc. ",1977436,3674,12/11/03,Religious ,Unavl
"Dalai Lama Foundation, Inc., The ",2422435,20104,3/4/08,Charitable ,7-Jun
"Dalmatian Dreams Foundation, The ",1943089,18542,12/5/05,Charitable ,6-May
Dameron Hospital Association ,193881,3677,12/11/03,Hospital ,Unavl
Dana Adobe Nipomo Amigos ,2204583,17529,1/23/06,Charitable ,5-Apr
Danbury Park LLC ,201134010195,23511,4/15/13,Charitable ,13-Dec
Dance Action ,577161,3678,12/11/03,Charitable ,Unavl
"Dance Palace, Inc., The ",832568,3680,12/11/03,Charitable ,Unavl
Dancing Star Foundation ,1860814,3682,12/11/03,Charitable ,Unavl
"Dandelion Nursery School, Inc. ",922051,3683,12/11/03,Charitable ,Unavl
Daniel Christian Academy ,3688728,25238,10/7/15,Religious ,15-16
"Daniel's Village, LLC ",200913210059,22109,8/25/10,Charitable ,11-Oct
"Dante House, Inc. ",2129763,3685,12/11/03,Charitable ,Unavl
Danville Area Culture Alliance ,1630965,18183,3/15/07,Charitable ,3-Feb
"Danville Congregational Church, United Church of Christ ",309522,3687,12/11/03,Religious ,Unavl
"Danville Senior Citizens Club, Inc. ",896571,3688,12/11/03,Charitable ,Unavl
"Danville Senior Housing, Inc. ",2348464,17000,3/3/04,Charitable ,5-Apr
"DAR-AL-ULOOM, AL-ISLAMIYAH OF AMERICA ",1410372,15166,12/11/03,Religious ,Unavl
"Darin M. Camarena Health Centers, Inc. ",892335,3689,12/11/03,Charitable ,Unavl
Data Center ,831055,20868,6/17/09,Charitable ,9-Aug
Daughters of Charity Foundation ,1246206,25505,10/12/15,Charitable ,15-16
Daughters of Charity Health System ,2346440,18223,7/15/05,Charitable ,3-Feb
Daughters of Charity Ministry Services Corporation ,2104061,3691,12/11/03,Charitable ,Unavl
Daughters of Charity of St. Vincent de Paul Province of the West ,571182,3692,12/11/03,Religious ,Unavl
Daughters of Mary and Joseph in California ,244066,3693,12/11/03,Religious ,Unavl
"Daughters of Saint Paul, Inc. ",1288220,3694,12/11/03,Religious ,Unavl
Daughters of St. Joseph of California ,398677,3695,12/11/03,Religious ,Unavl
Daughters of Zion ,3457690,23494,6/2/15,Charitable ,13-14
Davar Kingdom of God ,1975658,3696,12/11/03,Religious ,Unavl
"David and Kara Brewer Foundation, The ",1892563,15772,12/11/03,Charitable ,Unavl
"David and Lucile Packard Foundation, The ",467303,3697,12/11/03,Charitable ,Unavl
"David and Margaret Home, Inc. ",165353,3698,12/11/03,Charitable ,Unavl
"David Avenue SJC MGP, LLC ",200732010115,20732,10/15/08,Charitable ,9-Aug
David Brower Center ,2271345,20941,3/23/09,Charitable ,8-Jul
David C. Copley Foundation ,281442,24731,1/6/15,Charitable ,14-15
"David Ministries, Inc. ",771856,3700,12/11/03,Religious ,Unavl
Davis Arts Center ,391774,3703,1/29/15,Charitable ,15-16
Davis Campus Cooperatives ,1115278,14369,12/11/03,Charitable ,Unavl
Davis Community Meals ,1800206,3705,12/11/03,Charitable ,Unavl
Davis Community Television ,1625725,19564,6/7/10,Charitable ,6-May
Davis Musical Theatre Company ,1255798,3708,12/11/03,Charitable ,Unavl
"Davis Senior Housing Communities, Inc. ",2212803,19157,4/30/13,Charitable ,10-Sep
Davis Street Community Center ,1665144,3711,12/11/03,Charitable ,Unavl
Davis Summer House Incorporated ,1657881,3712,12/11/03,Charitable ,Unavl
Dawn Christian Academy ,3680908,25261,7/17/15,Religious ,15-16
"Day Caring Preschool, Inc. ",731478,3717,12/11/03,Charitable ,Unavl
Day Worker Center Of Mountain View ,2797687,20616,4/1/09,Charitable ,9-Aug
"Daybreak Camp, Inc. ",573771,3718,12/11/03,Religious ,Unavl
Dayle McIntosh Center for the Disabled ,903183,3719,12/11/03,Charitable ,Unavl
Dayspring Christian Center Inc. ,3248395,22509,2/28/11,Religious ,12-Nov
"Daytop Village Foundation, Inc. ",6046772,3721,12/11/03,Charitable ,Unavl
DCHS Medical Foundation ,3420318,23442,6/7/13,Hospital ,13-Dec
DCI Donor Services Inc. ,1817433,3723,12/11/03,Charitable ,Unavl
DDSO Foundation ,1527151,3724,12/11/03,Charitable ,Unavl
"De Anza Rescue Unit, Inc. ",581905,3725,12/11/03,Charitable ,Unavl
"De Benneville Pines, Inc. ",419102,3726,12/11/03,Religious ,Unavl
"De La Salle High School of Concord, Inc. ",1829679,3727,12/11/03,Religious ,Unavl
De La Salle Institute ,13779,3728,12/11/03,Religious ,Unavl
De Marillac Academy ,2233433,21186,12/3/09,Religious ,10-Sep
Deaf and Hard of Hearing Service Center ,1237081,3729,12/11/03,Charitable ,Unavl
"Deaf Community Services of San Diego, Inc. ",1201105,17673,10/20/14,Charitable ,13-14
Deaf Counseling Advocacy & Referral Agency ,468133,4003,4/10/09,Charitable ,8-Jul
Deaf Senior Retirement Corporation ,2124612,18585,9/29/05,Charitable ,4-Mar
DeAnza Housing Corporation ,2363595,17188,5/24/04,Charitable ,5-Apr
Dechen Rang Dharma Center ,2948042,22321,2/23/11,Religious ,11-Oct
Decro Alpha Corporation ,1820415,3731,12/11/03,Charitable ,Unavl
DECRO Corporation ,1645905,16333,5/24/04,Charitable ,5-Apr
Decro Epsilon Corporation ,1820411,3732,12/11/03,Charitable ,Unavl
Decro Gamma Corporation ,1771717,3733,12/11/03,Charitable ,Unavl
"Decro Orion, L.L.C. ",200532110221,20239,2/25/09,Charitable ,8-Jul
"DECRO Osborne, L.L.C. ",200509110008,20238,8/26/08,Charitable ,7-Jun
Decro-Chi Corporation ,1820413,3734,12/11/03,Charitable ,Unavl
Dedication and Everlasting Love to Animals ,1116924,3735,12/11/03,Charitable ,Unavl
Deep Green Housing and Community Development ,1481001,1285,12/23/11,Charitable ,13-Dec
Deep Valley Christian Schools ,613661,3736,12/11/03,Charitable ,Unavl
"Deer Park Monastery, LLC ",200604210342,20364,10/28/08,Religious ,8-Jul
Defensa De Mujeres ,1517118,3738,12/11/03,Charitable ,Unavl
Defense and Confirmation Project Inc. ,2367486,17187,6/23/04,Charitable ,5-Apr
Defore Foundation for the Arts ,1672652,3739,12/11/03,Charitable ,Unavl
Deja Vu Publishing Company ,1090195,19830,6/16/08,Religious ,6-May
Del Carlo Court Inc. ,1519505,3743,12/11/03,Charitable ,Unavl
Del Harbor Foundation ,3214590,21762,9/15/10,Charitable ,11-Oct
Del Monte Forest Conservancy ,416096,3745,1/25/13,Charitable ,13-14
"Del Monte Manor, Inc. ",558632,3746,12/11/03,Charitable ,Unavl
Del Norte Association for Cultural Awareness ,1089198,3747,12/11/03,Charitable ,Unavl
Del Norte Child Care Council ,1009399,3749,12/11/03,Charitable ,Unavl
Del Norte County Historical Society ,346872,3751,12/11/03,Charitable ,Unavl
Del Norte Senior Center ,771549,3753,12/11/03,Charitable ,Unavl
Del Oro Caregiver Resource Center ,1549756,3754,12/11/03,Charitable ,Unavl
Del Paso Eastern Little League ,690781,3755,12/11/03,Charitable ,Unavl
Del Prado Interfaith Housing Corporation ,619859,3756,12/11/03,Charitable ,Unavl
Del Rey Hills Evangelical Free Church ,387929,16229,12/11/03,Religious ,Unavl
"Del Rey-American Little League, Inc. ",325046,18158,8/16/06,Charitable ,6-May
"Del Sol School, Inc. ",2851025,25792,1/20/16,Charitable ,13-14
Dela Vina Housing ,1972713,3758,12/11/03,Charitable ,Unavl
Delancey Street Foundation ,618731,3759,12/11/03,Charitable ,Unavl
Delano Association for Developmentally Disabled ,765481,3760,12/11/03,Charitable ,Unavl
Delegate General of the Minim Fathers ,661517,3761,12/11/03,Religious ,Unavl
Delhaven Community Center ,748109,3762,12/11/03,Charitable ,Unavl
Delhi Center ,579643,3763,12/11/03,Charitable ,Unavl
Delhi Community Presbyterian Church ,237125,15535,12/11/03,Religious ,Unavl
"Deliverance House, Inc. ",2107389,3764,12/11/03,Charitable ,Unavl
"Dell'Arte, Inc. ",641428,3765,12/11/03,Charitable ,Unavl
"Delno Terrace, Inc. ",1115430,3766,12/11/03,Charitable ,Unavl
"Delora Corporation, The ",1645046,3767,12/11/03,Charitable ,Unavl
"Delphi Schools, Inc. ",1263502,3768,12/11/03,Charitable ,Unavl
Delta Blood Bank ,290152,3769,12/11/03,Charitable ,Unavl
"Delta Community Services, Inc. ",756540,23452,12/5/13,Charitable ,12-Nov
Delta Food Bank ,1745404,3771,12/11/03,Charitable ,Unavl
Delta Health Care and Management Services Corporation ,848476,3772,12/11/03,Charitable ,Unavl
Delta Housing Development Corporation ,1658957,3773,12/11/03,Charitable ,Unavl
Delta Learning Center ,1103818,3774,12/11/03,Charitable ,Unavl
Delta Oaks Orthodox Presbyterian Church ,3417263,23384,6/16/14,Religious ,13-Dec
"Delta Sea Scouts, Inc. ",1839262,20302,4/7/08,Charitable ,9-Aug
Delta Stockton Humane Society & SPCA ,504574,3777,12/11/03,Charitable ,Unavl
"DeLuz Heights Volunteer Firefighters Ass'n., Inc. ",2165183,23382,3/4/13,Charitable ,11-Oct
"DeMeo Teen Club, Inc. ",2054975,3778,12/11/03,Charitable ,Unavl
"Dental Health Foundation, The ",1287314,3780,12/11/03,Charitable ,Unavl
DePaul Center ,298921,3781,12/11/03,Religious ,Unavl
Dependency Legal Group of San Diego ,3274839,24924,1/9/15,Charitable ,14-15
Dependency Legal Services ,3513283,25250,9/8/15,Charitable ,15-16
"Depot Theatre of La Habra, Inc. ",1768570,19512,5/12/08,Charitable ,4-Mar
"Deran Koligian Ambulatory Care Center, LLC ",200828110255,21223,4/16/09,Charitable ,10-Sep
"DeRose HDC, Inc. ",1505304,3783,12/11/03,Charitable ,Unavl
"Desarrollo Familiar, Inc. ",921701,3784,12/11/03,Charitable ,Unavl
Desert Aids Project ,1316318,3785,12/11/03,Charitable ,Unavl
Desert Alliance for Community Empowerment ,2170076,18742,1/30/06,Charitable ,6-May
Desert Area Resources and Training ,416558,3786,12/11/03,Charitable ,Unavl
"Desert Christ Park, Inc. ",1772758,15631,12/11/03,Charitable ,Unavl
"Desert Christian Ministries, Incorporated ",2088382,18449,6/19/06,Charitable ,6-May
Desert Communities United Way ,361686,21147,12/10/13,Charitable ,11-Oct
Desert Community Foundation ,2134025,15395,12/11/03,Charitable ,Unavl
"Desert Gardens, House of Compassion ",2110970,15290,12/11/03,Religious ,Unavl
Desert Haven Enterprises ,295527,3790,12/11/03,Charitable ,Unavl
"Desert Highlands, LLC ",2.00911E+11,22269,3/22/11,Charitable ,11-Oct
Desert Hospital Auxiliary ,339188,18037,4/10/09,Charitable ,6-May
"Desert Hot Springs Housing, Inc. ",542402,3793,12/11/03,Charitable ,Unavl
Desert Housing Foundation ,1992298,15010,6/16/06,Charitable ,6-May
Desert Manna ,1387662,3795,12/19/13,Charitable ,13-14
"Desert Montessori Academy, Inc. ",454243,3796,12/11/03,Charitable ,Unavl
Desert Samaritans for Seniors ,2014438,3800,1/31/11,Charitable ,12-Nov
"Desert Sanctuary, Inc., The ",1115539,14593,12/11/03,Charitable ,Unavl
Desert Shores Community Center ,1991757,3801,12/11/03,Charitable ,Unavl
Desert Springs Church ,1931588,3802,12/11/03,Religious ,Unavl
Desert Stream Ministries ,1230185,3803,12/11/03,Religious ,Unavl
Desert Tortoise Preserve Committee ,726908,3804,12/11/03,Charitable ,Unavl
Desert Willow Apartments ,2714357,20451,1/7/09,Charitable ,9-Aug
DesertArc ,382044,5151,3/25/09,Charitable ,10-Sep
Destiny Arts Center ,1867225,24184,5/5/14,Charitable ,12-Nov
Destiny Christian Church of the Assemblies of God ,1678469,25122,10/5/15,Religious ,13-14
Destiny Fellowship ,2127616,23756,11/19/14,Religious ,11-Oct
"Developing Aging Solutions with Heart, Inc. ",1201480,3808,12/11/03,Charitable ,Unavl
"Development Investment, LLC ",200406810220,22424,7/11/14,Charitable ,11-Oct
"Developmental Disabilities Service Organization, Inc. ",729152,3812,12/11/03,Charitable ,Unavl
"Developmental Living Center, The ",815828,3813,12/11/03,Charitable ,Unavl
"Developmental Services Continuum, Inc. ",1099254,3810,12/11/03,Charitable ,Unavl
"Developmental Services Support for Kern, Inyo and Mono Counties ",1744260,3814,12/11/03,Charitable ,Unavl
Developmental Studies Center ,751092,3815,12/11/03,Charitable ,Unavl
"Devereaux Foundation, The ",197478,3816,12/11/03,Charitable ,Unavl
DGI Services Inc. ,1933046,14908,12/11/03,Charitable ,Unavl
Dhammakaya International Meditation Center (U.S.A.) ,1495756,3817,12/11/03,Religious ,Unavl
Dharam Khand Sikh Academy ,2644952,18690,11/17/06,Religious ,6-May
Dharma Drum Mountain Buddhist Association - San Francisco ,2680546,25188,10/5/15,Religious ,13-14
Dharma Mudranalaya ,736717,3818,12/11/03,Religious ,Unavl
"Dharma Realm Buddhist Association, Inc. ",370516,3819,12/11/03,Religious ,Unavl
"Dharma Treasury Study Center, Inc. ",2451063,19501,5/23/07,Religious ,7-Jun
Dharma Zen Center ,1053145,18987,3/1/07,Religious ,3-Feb
Dharmapala Institute for Buddhist Meditation and Research ,1817281,3821,12/11/03,Religious ,Unavl
Dharmata Foundation ,2722611,21832,4/21/10,Religious ,11-Oct
"Diabetes Camping & Educational Services, Inc. ",1118697,17533,3/10/14,Charitable ,12-Nov
Diabetes Society ,449113,3822,3/11/08,Charitable ,5-Apr
Diabetes Society of Sonoma County ,1635964,3823,12/11/03,Charitable ,Unavl
Diabetic Youth Foundation ,252490,3824,12/11/03,Charitable ,Unavl
Diablo Light Opera Company ,402867,17917,3/21/05,Charitable ,6-May
Diablo Valley Foundation for the Aging ,734674,24251,7/24/14,Charitable ,13-14
Diablo Valley Montessori School ,493984,3828,12/11/03,Charitable ,Unavl
"Diakonia Housing I, Inc. ",1076784,3829,12/11/03,Charitable ,Unavl
"Dialysis Clinic, Inc. ",FOREIGN ,3830,12/11/03,Charitable ,Unavl
"Diamond Bar Community Nursery School, Inc. ",504674,3831,12/11/03,Charitable ,Unavl
Diamond Bar Friends Church ,563773,3832,12/11/03,Religious ,Unavl
Diamond Bar Little League ,531291,3833,12/11/03,Charitable ,Unavl
Diamond Cove Housing Corporation ,1970830,21337,10/20/10,Charitable ,2-Jan
"Diamond Institute, The ",1017600,3834,12/11/03,Charitable ,Unavl
Diamond Springs-El Dorado Fire Fighters' Association ,1602390,3835,12/11/03,Charitable ,Unavl
Diamond Sunrise 2 Corporation ,2221407,15956,12/11/03,Charitable ,Unavl
Diamond Sunrise Corporation ,978862,3836,12/11/03,Charitable ,Unavl
"Diamond View Residents' Association, Inc. ",1829513,3837,12/11/03,Charitable ,Unavl
Diamond Zen Center ,1770799,19352,10/20/06,Religious ,99-00
"Dianne Adair Day Care Centers, Inc. ",1231385,3838,12/11/03,Charitable ,Unavl
Diavolo Dance Theater ,1948772,21767,10/26/10,Charitable ,10-Sep
Dick Mills Ministries ,1061571,3839,12/11/03,Religious ,Unavl
Didi Hirsch Psychiatric Service ,195950,3840,12/11/03,Charitable ,Unavl
"Die Rasselbande Preschool, Inc. ",2672969,19559,2/20/08,Charitable ,7-Jun
"Dientes Community Dental Clinic, Inc. ",1818962,3841,12/11/03,Charitable ,Unavl
"Dieu Nhan Buddhist Meditation Association, Inc. ",2428720,19703,9/6/07,Religious ,5-Apr
Dignity Health ,292448,14974,1/24/12,Hospital ,13-Dec
Dignity Health Medical Foundation ,1672204,2893,12/21/12,Charitable ,13-14
"Dignity Housing West, Inc. ",1643671,3843,12/11/03,Charitable ,Unavl
"Dinuba Senior Citizens, Inc. ",842721,3846,12/11/03,Charitable ,Unavl
Diocese of Fresno Education Corporation ,271071,3847,12/11/03,Religious ,Unavl
Diocese of Monterey Education and Welfare Corporation ,537657,3848,12/11/03,Religious ,Unavl
"Diocese of Newton for the Melkites in the United States of America, Inc. ",FOREIGN ,3849,12/11/03,Religious ,Unavl
Diocese of Orange Education and Welfare Corporation ,782563,3850,12/11/03,Religious ,Unavl
Diocese of San Bernardino Education and Welfare Corporation ,902626,3851,12/11/03,Religious ,Unavl
Diocese of San Bernardino Land Development Corporation ,2507206,21055,4/8/09,Religious ,10-Sep
Diocese of San Diego Education and Welfare Corporation ,271054,3852,12/11/03,Religious ,Unavl
"Diocese of the West, Orthodox Church in America ",257356,3853,12/11/03,Religious ,Unavl
Direct Relief ,230044,3856,4/18/14,Charitable ,14-15
Disability Rights California ,845771,10135,4/28/08,Charitable ,10-Sep
"Disability Rights Education and Defense Fund, Inc. ",962597,3858,12/11/03,Charitable ,Unavl
"Disabled American Veterans, Department of California ",127125,3860,12/11/03,Charitable ,Unavl
Disabled Businesspersons Association ,1695540,3862,12/11/03,Charitable ,Unavl
"Disabled Employees Rehabilitation, Inc. ",282671,3863,12/11/03,Charitable ,Unavl
"Disabled Resources Center, Inc. ",784877,3864,12/11/03,Charitable ,Unavl
Disabled Sports USA Far West ,1693342,3865,12/11/03,Charitable ,Unavl
"Discalced Carmelite Fathers of San Jose, Inc. ",387012,3866,12/11/03,Religious ,Unavl
"Discalced Carmelite Fathers, Oakville, Inc. ",336598,3867,12/11/03,Religious ,Unavl
"Discalced Carmelite Nuns of Berkeley, Inc. ",260849,3868,12/11/03,Religious ,Unavl
Disciple Community Church ,3178057,22420,1/12/11,Religious ,11-Oct
Disciples Seminary Foundation of the Christian Church (Disciples of Christ) ,404148,3871,12/11/03,Religious ,Unavl
Discovering Horizons ,2331439,16375,3/29/04,Charitable ,4-Mar
Discovering Opportunities for Outreach and Reflection ,3190923,21383,6/24/10,Religious ,8-Jul
"Discovery Bay Calvary Fellowship, Inc. ",2589172,20591,6/20/08,Religious ,9-Aug
"Discovery Center, The ",293258,19258,4/2/07,Charitable ,00-01
Discovery Christian Church ,2440914,18621,12/19/05,Religious ,7-Jun
Discovery Church of the Nazarene ,1678148,15152,12/11/03,Religious ,Unavl
Discovery Fund for Eye Research ,1621778,14870,12/11/03,Charitable ,Unavl
Discovery Montessori ,812403,3876,12/11/03,Charitable ,Unavl
Discovery Parent Child Pre-School ,718815,3878,12/11/03,Charitable ,Unavl
Discovery Science Center of Los Angeles ,3440678,23831,4/30/15,Charitable ,13-14
Discovery Science Center of Orange County ,2111376,15981,12/11/03,Charitable ,Unavl
District Advisory Board Northern California District Church of the Nazarene ,173803,3881,12/11/03,Religious ,Unavl
"District Council of CCC, Society of St. Vincent De Paul Diocese of Oakland ",482261,3882,12/11/03,Charitable ,Unavl
Distrito Hispano Suroeste de La Iglesia Wesleyana ,2595685,21252,4/16/09,Religious ,8-Jul
"Diverse Journeys, Inc. ",2726205,24248,6/13/14,Charitable ,12-Nov
"Diversionary Theatre Productions, Inc ",1588032,19327,1/18/07,Charitable ,4-Mar
Divide Friends of the Arts and Historical Society ,1653128,3885,12/11/03,Charitable ,Unavl
Divine Art of Yoga Center ,1810319,18288,7/27/09,Religious ,10-Sep
"Divine Avataric Holy Domains of Adidam Ruchiradam, The ",650811,4189,4/7/10,Religious ,11-Oct
Divine Light Presbyterian Church ,821571,3886,12/11/03,Religious ,Unavl
Divine Mercy Eucharistic Society ,2069053,15857,4/28/11,Religious ,7-Jun
"Divine Shakti Mandir, Inc. ",3409783,24923,3/9/15,Religious ,14-15
"Divine Word Seminary of the Divine Word Missionaries Soc. of the Div. Word at Riv., CA. ",443274,3887,12/11/03,Religious ,Unavl
"Divya Jyoti Jagriti Sansthan of Fairfield, Inc. ",2736002,25327,8/10/15,Religious ,15-16
Dixon Community Church ,274588,3888,12/11/03,Charitable ,Unavl
Dixon Community Nursery School ,616459,3889,12/11/03,Charitable ,Unavl
Dixon Family Services ,1235992,17984,11/28/07,Charitable ,5-Apr
Dixon United Methodist Church of Dixon ,224270,3892,12/11/03,Charitable ,Unavl
Djerassi Resident Artists Program ,1178019,3893,12/11/03,Charitable ,Unavl
D'Lonier Foundation ,3209272,24457,8/15/14,Charitable ,13-14
DMAT San Diego CA-4 ,2053184,14968,12/11/03,Charitable ,Unavl
DMV Child Care Center ,738782,3894,12/11/03,Charitable ,Unavl
DN Associates ,1884463,18364,5/16/08,Charitable ,4-Mar
DNA Foundation Charitable Trust ,UNKNOWN ,20427,3/30/09,Charitable ,9-Aug
Dobbins-Oregon House Improvement Foundation ,1878212,3896,12/11/03,Charitable ,Unavl
Doctors Medical Center Foundation ,733453,3897,12/11/03,Charitable ,Unavl
"Dog at Home, Inc. ",2520844,17810,5/31/05,Charitable ,5-Apr
"Doheny Eye Institute, Inc. ",9791087,3898,12/11/03,Charitable ,Unavl
Doheny Eye Medical Group ,1839756,3899,12/11/03,Charitable ,Unavl
"Dolores Hotel, LLC ",200901710324,22957,11/4/11,Charitable ,11-Oct
"Dolores Street Community Services, Inc. ",1146074,3902,11/23/15,Charitable ,15-16
"Dolores-Frances Affordable Housing, Inc. ",2461984,18700,6/19/06,Charitable ,4-Mar
DOMA Development Corp ,3343106,24944,4/22/15,Charitable ,13-14
"Domestic Violence and Sexual Assault Coalition, Inc., The ",1002961,3903,12/11/03,Charitable ,Unavl
Domestic Violence Center Of The Santa Clarita Valley ,1204372,20260,11/26/08,Charitable ,5-Apr
Domestic Violence Solutions For Santa Barbara County ,974153,11613,10/29/15,Charitable ,15-16
Dominguez Samoan Congregational Christian Church (LALA EFKS) ,1222540,20199,6/25/13,Religious ,8-Jul
Dominguez Seminary ,182799,3904,12/11/03,Religious ,Unavl
Dominican Hospital Foundation ,821596,3906,12/11/03,Charitable ,Unavl
Dominican Oaks Corporation ,1538937,3908,12/11/03,Charitable ,Unavl
Dominican Sisters of Mission San Jose ,19417,3909,12/11/03,Charitable ,Unavl
Dominican Sisters of Oakford ,501285,3910,12/11/03,Religious ,Unavl
"Dominican Sisters of St. Catherine of Siena, Inc. ",Foreign ,17887,9/28/05,Religious ,6-May
Dominican SMME Corporation ,UNKNOWN ,21607,5/27/10,Religious ,10-Sep
"Don Avante Family Homes, Inc. ",2119391,3911,12/11/03,Charitable ,Unavl
Don Bosco Hall ,732702,3912,12/11/03,Religious ,Unavl
Don Bosco Technical Institute ,454407,3913,12/11/03,Religious ,Unavl
"Donald Jordan Sr. Manor, Inc. ",1114700,3915,12/11/03,Charitable ,Unavl
Donaldina Cameron House ,1248973,3916,12/11/03,Religious ,Unavl
"Donner Mine Camp, Inc. ",984752,3918,12/11/03,Charitable ,Unavl
"Donnie Moore Ministries, Inc. ",1806394,22266,11/2/10,Religious ,7-Jun
Donor Network West ,1199092,1870,6/22/15,Charitable ,15-16
Door of Faith Ministries International ,2633802,23097,2/16/12,Religious ,13-Dec
Door of Hope ,1550010,3919,12/11/03,Charitable ,Unavl
Door to Hope ,619811,3920,12/11/03,Charitable ,Unavl
Doorae Community Movement ,1444178,21805,8/9/10,Religious ,5-Apr
"Doorpost Educational Services, Inc. ",2566807,19949,11/1/07,Religious ,5-Apr
Doris and Donald Fisher Education Fund ,UNKNOWN ,20602,7/29/09,Charitable ,9-Aug
Doris and Francis White Woodlake Lions Community Center ,1969527,3922,12/11/03,Charitable ,Unavl
"Dorland Mountain Arts Colony, Inc. ",1104809,3923,12/11/03,Charitable ,Unavl
"Dorothy Brown School, Inc., The ",909480,15822,12/11/03,Charitable ,Unavl
"Dos Palos Memorial Hospital, Inc. ",1005709,3924,12/11/03,Charitable ,Unavl
"Dos Palos Troop, Boy Scouts of America ",233284,3925,12/11/03,Charitable ,Unavl
Dos Palos United Methodist Church ,187679,22299,4/22/11,Religious ,11-Oct
"Dos Rios Spanish Congregation of Jehovah's Witnesses, Sacramento, California, Inc. ",518348,25065,10/21/15,Religious ,15-16
Dot Tot Center ,1112721,3926,12/11/03,Charitable ,Unavl
"Double Check Retreat, Inc. ",574307,3927,12/11/03,Charitable ,Unavl
Dove Christian Ministries ,2251995,23764,6/25/13,Religious ,10-Sep
"Doves of Big Bear Valley, Incorporated ",1277657,3929,12/11/03,Charitable ,Unavl
Down Syndrome Association of Orange County ,961495,24584,9/16/14,Charitable ,11-Oct
Downey First Church ,1074069,20088,11/13/07,Religious ,6-May
"Downey Regional Medical Center-Hospital, Inc. ",324073,3930,6/7/06,Hospital ,3-Feb
Downieville Assembly of God ,2409697,17617,12/1/04,Religious ,5-Apr
"Downieville Foundry and Historical Park Company, Inc. ",1919930,3932,12/11/03,Charitable ,Unavl
Downs Memorial United Methodist Church ,301477,18477,10/14/05,Religious ,2-Jan
"Downtown Arts Project, Inc. ",1803770,3933,12/11/03,Charitable ,Unavl
Downtown River LLC ,200524910167,19128,12/8/06,Charitable ,7-Jun
Downtown Senior Center Corporation ,925999,3935,12/11/03,Charitable ,Unavl
"Downtown Streets, Inc. ",2804950,23158,12/10/13,Charitable ,13-Dec
Downtown Women's Center ,1796682,3936,12/11/03,Charitable ,Unavl
"Downtown Women's Center Housing, LLC ",200900510086,22410,8/23/11,Charitable ,11-Oct
Dr. Herbert Guice Christian Academy ,2011606,3937,12/11/03,Religious ,Unavl
Dr. Lynch Foundation ,1864268,3938,12/11/03,Charitable ,Unavl
Dr. Prem Reddy Family Foundation ,1689582,3805,10/6/09,Charitable ,9-Aug
"Drachma Housing, Inc. ",2367797,18148,6/14/05,Charitable ,5-Apr
Dragon Productions Theatre Company ,2634448,20489,5/29/08,Charitable ,7-Jun
"Drakes Way EAH, Inc. ",3257184,23323,7/1/13,Charitable ,12-Nov
"Drasnin Manor, LLC ",201020710354,22598,11/15/11,Charitable ,12-Nov
Drawbridge: An Arts Program For Homeless Children ,1915023,3943,12/11/03,Charitable ,Unavl
"Dream Center, The ",83609,16267,12/18/03,Religious ,4-Mar
Dreamland Boxing ,UNKNOWN ,18464,5/23/07,Charitable ,6-May
Dress For Success San Diego ,2280918,25650,12/21/15,Charitable ,15-16
Dress for Success San Francisco ,2786601,23306,5/9/13,Charitable ,12-Nov
"Drew Child Development Corporation, Inc. ",1599492,18193,1/4/10,Charitable ,5-Apr
Drew Economic Development Corporation ,1160249,18911,6/19/06,Charitable ,7-Jun
Drew School ,682448,3945,6/10/10,Charitable ,5-Apr
Drikung Kyobpa Choling Monastery ,2107319,21149,3/19/09,Religious ,9-Aug
Drug Abuse Alternatives Center ,570427,3948,12/11/03,Charitable ,Unavl
Drug Alternative Program ,1636586,3950,12/11/03,Charitable ,Unavl
Dry Bones ,6835638,3951,12/11/03,Religious ,Unavl
"Du Bois Institute, The ",721521913,23478,6/26/13,Charitable ,9-Aug
Dublin & DeMarcus LLC ,200406310163,19756,6/6/08,Charitable ,6-May
Dublin Senior LLC ,200517110298,19755,4/9/08,Charitable ,7-Jun
Dubnoff Center for Child Development and Educational Therapy ,391228,3954,12/11/03,Charitable ,Unavl
Duc Vien Buddhist Community Pagoda ,1240964,21058,6/17/10,Religious ,9-Aug
"Ducks Unlimited, Inc. ",FOREIGN ,3955,12/11/03,Charitable ,Unavl
"Duffield Family Foundation, The ",2470832,21123,3/22/14,Charitable ,13-14
